KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000850001,T000850002,T000850003,T000850004,T000850005,T000850006,T000850007,T000850008
,,,,,,,一般世帯数（世帯人員６人以上含む）,　世帯人員１人,　世帯人員２人,　世帯人員３人,　世帯人員４人,　世帯人員５人,一般世帯人員,１世帯当り人員
05201,1,秋田市,,0,,,135018,47053,39751,24637,16226,4986,305382,2.2617873172
052010010,2,秋田市,千秋,0,,,2359,1227,617,280,173,45,4324,1.8329800763
05201001001,3,秋田市,千秋北の丸,0,,,257,84,89,42,29,10,572,2.2256809339
05201001002,3,秋田市,千秋久保田町,0,,,259,188,42,17,12,-,371,1.4324324324
05201001003,3,秋田市,千秋公園,0,,,31,14,11,4,1,1,57,1.8387096774
05201001004,3,秋田市,千秋城下町,0,,,406,258,88,35,18,3,653,1.6083743842
05201001005,3,秋田市,千秋中島町,0,,,379,152,119,58,34,11,786,2.0738786280
05201001006,3,秋田市,千秋明徳町,0,,,110,56,34,10,7,1,199,1.8090909091
05201001007,3,秋田市,千秋矢留町,0,,,917,475,234,114,72,19,1686,1.8386041439
052010020,2,秋田市,手形,0,,,2559,1732,384,241,142,51,4105,1.6041422431
05201002001,3,秋田市,手形からみでん,0,,,275,170,61,26,13,5,447,1.6254545455
05201002002,3,秋田市,手形学園町,0,,,-,-,-,-,-,-,-,-
05201002003,3,秋田市,手形休下町,0,,,191,93,41,29,23,5,379,1.9842931937
05201002004,3,秋田市,手形新栄町,0,,,312,227,51,19,12,2,451,1.4455128205
05201002005,3,秋田市,手形住吉町,0,,,394,239,51,53,35,15,722,1.8324873096
05201002006,3,秋田市,手形田中,0,,,936,661,136,73,45,16,1445,1.5438034188
05201002007,3,秋田市,手形山崎町,0,,,451,342,44,41,14,8,661,1.4656319290
052010030,2,秋田市,中通,0,,,2219,1377,482,220,110,24,3601,1.6228030644
05201003001,3,秋田市,中通１丁目,0,,,231,136,54,26,14,1,383,1.6580086580
05201003002,3,秋田市,中通２丁目,0,,,67,63,1,3,-,-,74,1.1044776119
05201003003,3,秋田市,中通３丁目,0,,,440,281,101,37,17,3,683,1.5522727273
05201003004,3,秋田市,中通４丁目,0,,,178,116,43,14,4,1,265,1.4887640449
05201003005,3,秋田市,中通５丁目,0,,,624,398,128,61,30,6,993,1.5913461538
05201003006,3,秋田市,中通６丁目,0,,,493,312,99,48,20,10,812,1.6470588235
05201003007,3,秋田市,中通７丁目,0,,,186,71,56,31,25,3,391,2.1021505376
052010040,2,秋田市,南通,0,,,2201,1298,468,246,144,36,3786,1.7201272149
05201004001,3,秋田市,南通亀の町,0,,,524,331,119,48,16,6,831,1.5858778626
05201004002,3,秋田市,南通築地,0,,,791,457,172,100,49,10,1368,1.7294563843
05201004003,3,秋田市,南通みその町,0,,,155,78,40,20,12,4,293,1.8903225806
05201004004,3,秋田市,南通宮田,0,,,731,432,137,78,67,16,1294,1.7701778386
052010050,2,秋田市,保戸野,0,,,2621,1053,780,434,245,87,5466,2.0854635635
05201005001,3,秋田市,保戸野金砂町,0,,,101,25,46,15,10,3,229,2.2673267327
05201005002,3,秋田市,保戸野桜町,0,,,312,86,103,63,44,12,741,2.3750000000
05201005003,3,秋田市,保戸野すわ町,0,,,359,134,111,69,27,15,766,2.1337047354
05201005004,3,秋田市,保戸野千代田町,0,,,373,143,116,62,40,10,783,2.0991957105
05201005005,3,秋田市,保戸野鉄砲町,0,,,361,190,90,48,24,6,659,1.8254847645
05201005006,3,秋田市,保戸野通町,0,,,154,73,42,18,11,7,309,2.0064935065
05201005007,3,秋田市,保戸野中町,0,,,268,123,65,50,19,10,535,1.9962686567
05201005008,3,秋田市,保戸野八丁,0,,,406,188,115,56,27,17,797,1.9630541872
05201005009,3,秋田市,保戸野原の町,0,,,287,91,92,53,43,7,647,2.2543554007
052010060,2,秋田市,高陽,0,,,1077,596,236,137,81,21,1950,1.8105849582
05201006001,3,秋田市,高陽青柳町,0,,,729,421,170,74,50,11,1259,1.7270233196
05201006002,3,秋田市,高陽幸町,0,,,348,175,66,63,31,10,691,1.9856321839
052010070,2,秋田市,大町,0,,,1559,841,419,188,76,21,2739,1.7568954458
05201007001,3,秋田市,大町１丁目,0,,,331,172,102,39,12,2,576,1.7401812689
05201007002,3,秋田市,大町２丁目,0,,,162,79,52,21,8,-,292,1.8024691358
05201007003,3,秋田市,大町３丁目,0,,,140,56,42,23,12,6,293,2.0928571429
05201007004,3,秋田市,大町４丁目,0,,,306,179,75,33,14,2,512,1.6732026144
